Time,Sample number,Temperature,Humidity,Sensor response,PM response,Temperature MFC
2020-05-28 09:36:57.785837,42,39,61,56,73,15
2020-05-28 09:36:57.785877,43,22,68,45,23,35
2020-05-28 09:36:57.785915,44,19,17,33,59,1
2020-05-28 09:36:57.785956,45,20,72,36,18,1
2020-05-28 09:36:57.785995,46,21,16,32,87,12
2020-05-28 09:36:57.786034,47,23,52,31,16,17
2020-05-28 09:36:57.786073,48,0,75,65,52,10
2020-05-28 09:36:57.786113,49,20,47,69,49,9
2020-05-28 09:36:57.786152,50,9,42,95,27,9
2020-05-28 09:36:57.786199,51,32,47,2,57,11
2020-05-28 09:36:57.786247,52,18,84,10,81,31
2020-05-28 09:36:57.786277,53,34,35,23,95,29
2020-05-28 09:36:57.786293,54,3,71,99,28,29
2020-05-28 09:36:57.786307,55,38,73,47,89,9
2020-05-28 09:36:57.786321,56,4,59,22,20,27
2020-05-28 09:36:57.786341,57,15,16,79,52,10
2020-05-28 09:36:57.786376,58,5,33,31,37,2
2020-05-28 09:36:57.786393,59,23,59,57,20,39
2020-05-28 09:36:57.786407,60,36,76,37,94,17
2020-05-28 09:36:57.786421,61,1,64,72,81,26
2020-05-28 09:36:57.786450,62,0,50,76,90,22
2020-05-28 09:36:57.786468,63,25,70,40,46,2
2020-05-28 09:36:57.786483,64,17,43,98,62,27
2020-05-28 09:36:57.786497,65,28,88,21,83,28
2020-05-28 09:36:57.786529,66,27,15,71,8,2
2020-05-28 09:36:57.786569,67,29,64,23,63,30
2020-05-28 09:36:57.786693,68,4,67,6,20,12
2020-05-28 09:36:57.786735,69,23,40,9,18,9
2020-05-28 09:36:57.786773,70,33,37,38,4,13
2020-05-28 09:36:57.786813,71,24,88,82,38,21
2020-05-28 09:36:57.786851,72,23,24,38,64,24
2020-05-28 09:36:57.786868,73,11,55,76,36,34
2020-05-28 09:36:57.786883,74,17,77,6,67,27
2020-05-28 09:36:57.786897,75,29,53,94,20,19
2020-05-28 09:36:57.786912,76,3,73,30,60,32
2020-05-28 09:36:57.786926,77,33,87,21,21,5
2020-05-28 09:36:57.786940,78,35,74,1,25,37
2020-05-28 09:36:57.786954,79,20,48,61,52,38
2020-05-28 09:36:57.786969,80,24,16,63,58,1
2020-05-28 09:36:57.786983,81,27,50,20,9,3
2020-05-28 09:36:57.786998,82,7,62,91,63,31
2020-05-28 09:36:57.787039,83,34,82,69,26,38
2020-05-28 09:36:57.787069,84,12,29,35,14,22
2020-05-28 09:36:57.787095,85,26,61,0,53,11
2020-05-28 09:36:57.787122,86,25,71,91,43,34
2020-05-28 09:36:57.787149,87,21,57,82,79,11
2020-05-28 09:36:57.787178,88,31,46,15,53,37
2020-05-28 09:36:57.787249,89,1,60,48,31,32
2020-05-28 09:36:57.787282,90,13,32,39,77,17
2020-05-28 09:36:57.787310,91,19,59,40,54,34
2020-05-28 09:36:57.787337,92,36,69,73,98,40
2020-05-28 09:36:57.787361,93,14,61,25,76,30
2020-05-28 09:36:57.787386,94,6,73,82,70,10
2020-05-28 09:36:57.787413,95,6,45,10,92,11
2020-05-28 09:36:57.787441,96,21,59,13,10,13
2020-05-28 09:36:57.787469,97,32,76,73,54,18
2020-05-28 09:36:57.787495,98,34,74,36,28,30
2020-05-28 09:36:57.787522,99,16,31,1,79,8
2020-05-28 09:36:57.787549,100,11,40,89,70,4
2020-05-28 09:36:57.787590,101,27,61,15,69,39
2020-05-28 09:36:57.787637,102,0,58,13,70,31
2020-05-28 09:36:57.787686,103,38,80,3,58,6
2020-05-28 09:36:57.787712,104,12,21,17,26,6
2020-05-28 09:36:57.787728,105,32,31,38,48,1
2020-05-28 09:36:57.787743,106,25,48,65,54,11
2020-05-28 09:36:57.787757,107,23,88,21,40,19
2020-05-28 09:36:57.787772,108,21,25,90,10,5
2020-05-28 09:36:57.787786,109,11,33,87,45,30
2020-05-28 09:36:57.787800,110,34,68,34,8,12
2020-05-28 09:36:57.787821,111,25,82,15,62,32
2020-05-28 09:36:57.787855,112,34,31,25,53,38
2020-05-28 09:36:57.787895,113,9,46,4,53,0
2020-05-28 09:36:57.787932,114,12,84,62,84,23
2020-05-28 09:36:57.787971,115,37,26,21,47,9
2020-05-28 09:36:57.788013,116,11,47,36,81,19
2020-05-28 09:36:57.788055,117,30,16,26,17,8
2020-05-28 09:36:57.788088,118,31,68,10,30,36
2020-05-28 09:36:57.788117,119,30,30,93,29,33
2020-05-28 09:36:57.788145,120,19,15,48,54,28
2020-05-28 09:36:57.788174,121,15,53,36,58,37
2020-05-28 09:36:57.788204,122,12,65,36,82,11
2020-05-28 09:36:57.788232,123,27,41,43,40,26
2020-05-28 09:36:57.788263,124,38,85,22,74,3
2020-05-28 09:36:57.788292,125,7,40,5,44,11
2020-05-28 09:36:57.788320,126,37,26,70,93,20
2020-05-28 09:36:57.788346,127,20,81,59,68,33
2020-05-28 09:36:57.788374,128,29,84,12,16,17
2020-05-28 09:36:57.788403,129,35,80,73,12,27
2020-05-28 09:36:57.788438,130,24,34,54,25,6
2020-05-28 09:36:57.788473,131,18,68,98,37,27
2020-05-28 09:36:57.788506,132,0,26,42,67,7
2020-05-28 09:36:57.788529,133,17,50,6,14,27
2020-05-28 09:36:57.788544,134,35,34,40,66,1
2020-05-28 09:36:57.788559,135,23,73,35,26,19
2020-05-28 09:36:57.788573,136,33,75,15,95,29
2020-05-28 09:36:57.788587,137,31,56,99,82,36
2020-05-28 09:36:57.788601,138,17,86,77,96,27
2020-05-28 09:36:57.788616,139,2,43,49,75,0
2020-05-28 09:36:57.788630,140,0,44,57,68,21
2020-05-28 09:36:57.788645,141,24,15,68,35,16
2020-05-28 09:36:57.788684,142,15,79,96,93,35
2020-05-28 09:36:57.788729,143,20,36,1,74,29
2020-05-28 09:36:57.788759,144,38,23,26,80,29
2020-05-28 09:36:57.788776,145,11,75,42,80,3
2020-05-28 09:36:57.788791,146,8,72,67,29,34
2020-05-28 09:36:57.788805,147,34,72,1,30,39
2020-05-28 09:36:57.788819,148,15,18,83,3,14
2020-05-28 09:36:57.788870,149,30,67,66,41,29
2020-05-28 09:36:57.788886,150,29,30,67,58,20
2020-05-28 09:36:57.788900,151,12,32,31,64,22
2020-05-28 09:36:57.788914,152,38,79,34,81,40
2020-05-28 09:36:57.788929,153,12,67,21,61,2
2020-05-28 09:36:57.788943,154,25,75,39,19,5
2020-05-28 09:36:57.788957,155,12,53,2,14,34
2020-05-28 09:36:57.788972,156,34,79,72,43,21
2020-05-28 09:36:57.788986,157,22,48,2,57,1
2020-05-28 09:36:57.789000,158,26,20,77,42,28
2020-05-28 09:36:57.789014,159,14,67,22,3,23
2020-05-28 09:36:57.789029,160,32,89,70,81,0
2020-05-28 09:36:57.789043,161,14,48,91,68,26
2020-05-28 09:36:57.789057,162,19,57,82,2,10
2020-05-28 09:36:57.789072,163,40,16,56,67,37
2020-05-28 09:36:57.789086,164,33,20,11,80,31
2020-05-28 09:36:57.789100,165,27,64,10,36,19
2020-05-28 09:36:57.789114,166,13,67,72,3,2
2020-05-28 09:36:57.789129,167,11,78,15,99,12
2020-05-28 09:36:57.789143,168,28,37,49,47,31
2020-05-28 09:36:57.789158,169,32,72,1,51,0
2020-05-28 09:36:57.789172,170,7,72,24,66,3
2020-05-28 09:36:57.789186,171,24,85,33,52,28
2020-05-28 09:36:57.789200,172,31,89,89,16,18
2020-05-28 09:36:57.789214,173,34,16,98,74,8
2020-05-28 09:36:57.789229,174,15,34,96,56,0
2020-05-28 09:36:57.789243,175,31,72,55,6,12
2020-05-28 09:36:57.789257,176,0,38,83,65,4
2020-05-28 09:36:57.789271,177,40,32,52,41,38
2020-05-28 09:36:57.789315,178,30,15,42,81,17
2020-05-28 09:36:57.789360,179,37,25,13,14,36
2020-05-28 09:36:57.789383,180,25,39,85,57,11
2020-05-28 09:36:57.789398,181,28,30,12,56,18
2020-05-28 09:36:57.789413,182,15,15,7,23,13
2020-05-28 09:36:57.789427,183,11,52,5,50,34
2020-05-28 09:36:57.789441,184,19,38,84,97,11
2020-05-28 09:36:57.789456,185,11,26,20,66,18
2020-05-28 09:36:57.789470,186,1,21,29,58,6
2020-05-28 09:36:57.789484,187,33,47,11,45,38
2020-05-28 09:36:57.789500,188,29,28,40,75,3
2020-05-28 09:36:57.789514,189,37,46,6,11,3
2020-05-28 09:36:57.789528,190,32,70,11,47,0
2020-05-28 09:36:57.789542,191,5,77,93,86,36
2020-05-28 09:36:57.789559,192,31,24,10,3,16
2020-05-28 09:36:57.789582,193,40,40,82,26,39
2020-05-28 09:36:57.789605,194,26,18,89,0,26
2020-05-28 09:36:57.789620,195,21,33,71,90,15
2020-05-28 09:36:57.789635,196,27,49,15,37,37
2020-05-28 09:36:57.789649,197,34,55,90,59,1
2020-05-28 09:36:57.789663,198,37,73,27,38,30
2020-05-28 09:36:57.789681,199,21,60,32,48,1
2020-05-28 09:36:57.789695,200,25,55,52,73,18
2020-05-28 09:36:57.789716,201,38,50,90,65,32
2020-05-28 09:36:57.789753,202,18,84,43,23,4
2020-05-28 09:36:57.789773,203,38,59,20,15,3
2020-05-28 09:36:57.789788,204,16,76,36,55,25
2020-05-28 09:36:57.789800,205,32,58,21,47,33
2020-05-28 09:36:57.789812,206,34,53,52,20,21
2020-05-28 09:36:57.789823,207,40,72,57,27,40
2020-05-28 09:36:57.789835,208,29,28,37,54,15
2020-05-28 09:36:57.789851,209,12,60,30,58,19
2020-05-28 09:36:57.789872,210,15,62,61,73,28
2020-05-28 09:36:57.789888,211,28,52,72,3,28
2020-05-28 09:36:57.789900,212,35,81,51,66,16
2020-05-28 09:36:57.789911,213,26,81,87,11,15
2020-05-28 09:36:57.789923,214,31,35,76,49,30
2020-05-28 09:36:57.789934,215,30,47,54,22,7
2020-05-28 09:36:57.789946,216,16,55,61,42,11
2020-05-28 09:36:57.789957,217,24,21,87,71,19
2020-05-28 09:36:57.789969,218,33,72,7,77,36
2020-05-28 09:36:57.789981,219,8,59,72,57,1
2020-05-28 09:36:57.789992,220,23,51,60,0,25
2020-05-28 09:36:57.790004,221,0,15,90,82,4
2020-05-28 09:36:57.790015,222,8,29,77,26,36
2020-05-28 09:36:57.790027,223,28,73,70,65,30
2020-05-28 09:36:57.790039,224,20,27,61,22,24
2020-05-28 09:36:57.790050,225,27,43,2,54,8
2020-05-28 09:36:57.790062,226,2,52,64,30,37
2020-05-28 09:36:57.790074,227,9,64,70,96,16
2020-05-28 09:36:57.790085,228,34,89,71,56,19
2020-05-28 09:36:57.790097,229,24,76,35,90,20
2020-05-28 09:36:57.790108,230,15,35,31,85,5
2020-05-28 09:36:57.790120,231,30,25,74,47,33
2020-05-28 09:36:57.790132,232,3,51,77,61,24
2020-05-28 09:36:57.790143,233,18,70,70,20,35
2020-05-28 09:36:57.790155,234,29,71,3,62,22
2020-05-28 09:36:57.790167,235,38,85,2,92,5
2020-05-28 09:36:57.790178,236,22,79,66,29,2
2020-05-28 09:36:57.790190,237,24,55,10,42,35
2020-05-28 09:36:57.790201,238,25,82,60,35,16
2020-05-28 09:36:57.790213,239,6,27,24,40,31
2020-05-28 09:36:57.790225,240,17,82,3,100,26
2020-05-28 09:36:57.790236,241,32,89,5,56,1
2020-05-28 09:36:57.790248,242,3,35,84,28,35
2020-05-28 09:36:57.790260,243,29,44,52,9,16
2020-05-28 09:36:57.790271,244,7,31,8,16,8
2020-05-28 09:36:57.790283,245,28,41,62,51,17
2020-05-28 09:36:57.790294,246,21,58,93,19,6
2020-05-28 09:36:57.790306,247,31,48,24,14,29
2020-05-28 09:36:57.790318,248,30,18,37,68,16
2020-05-28 09:36:57.790329,249,11,53,38,82,40
2020-05-28 09:36:57.790342,250,14,67,17,37,8
2020-05-28 09:36:57.790354,251,29,36,83,64,39
2020-05-28 09:36:57.790365,252,25,42,61,81,32
2020-05-28 09:36:57.790377,253,2,40,14,82,11
2020-05-28 09:36:57.790388,254,22,66,76,81,25
2020-05-28 09:36:57.790400,255,39,25,92,74,1
2020-05-28 09:36:57.790412,256,22,25,75,75,33
2020-05-28 09:36:57.790423,257,12,45,24,34,15
2020-05-28 09:36:57.790435,258,23,88,24,49,7
2020-05-28 09:36:57.790447,259,26,55,17,15,35
2020-05-28 09:36:57.790458,260,26,78,90,96,26
2020-05-28 09:36:57.790470,261,37,67,23,14,23
2020-05-28 09:36:57.790482,262,4,34,76,4,30
2020-05-28 09:36:57.790493,263,37,21,89,30,9
2020-05-28 09:36:57.790505,264,6,75,93,42,34
2020-05-28 09:36:57.790516,265,17,35,56,67,18
2020-05-28 09:36:57.790545,266,7,90,15,78,11
2020-05-28 09:36:57.790562,267,5,27,77,50,26
2020-05-28 09:36:57.790575,268,10,45,46,82,28
2020-05-28 09:36:57.790586,269,20,41,11,49,39
2020-05-28 09:36:57.790598,270,26,16,61,5,27
2020-05-28 09:36:57.790609,271,7,45,8,86,29
2020-05-28 09:36:57.790621,272,30,34,41,22,16
2020-05-28 09:36:57.790632,273,37,42,60,56,3
2020-05-28 09:36:57.790644,274,15,43,75,31,3
2020-05-28 09:36:57.790655,275,15,47,32,99,9
2020-05-28 09:36:57.790667,276,2,68,82,51,25
2020-05-28 09:36:57.790678,277,18,85,78,79,18
2020-05-28 09:36:57.790690,278,27,83,40,29,16
2020-05-28 09:36:57.790702,279,16,48,25,41,25
2020-05-28 09:36:57.790713,280,5,34,91,10,34
2020-05-28 09:36:57.790725,281,38,83,33,9,33
2020-05-28 09:36:57.790736,282,7,65,24,44,2
2020-05-28 09:36:57.790748,283,2,76,72,52,32
2020-05-28 09:36:57.790760,284,11,65,65,4,0
2020-05-28 09:36:57.790771,285,39,47,42,74,15
2020-05-28 09:36:57.790783,286,30,73,18,78,27
2020-05-28 09:36:57.790795,287,4,54,22,1,7
2020-05-28 09:36:57.790806,288,0,62,38,92,37
2020-05-28 09:36:57.790818,289,26,54,33,29,36
2020-05-28 09:36:57.790829,290,12,43,58,32,7
2020-05-28 09:36:57.790841,291,29,41,14,17,26
2020-05-28 09:36:57.790852,292,34,74,23,20,19
2020-05-28 09:36:57.790864,293,22,48,41,73,32
2020-05-28 09:36:57.790875,294,11,18,4,68,15
2020-05-28 09:36:57.790887,295,33,59,5,31,12
2020-05-28 09:36:57.790899,296,24,17,26,1,26
2020-05-28 09:36:57.790910,297,3,49,94,80,33
2020-05-28 09:36:57.790922,298,12,21,94,65,11
2020-05-28 09:36:57.790933,299,37,80,49,53,23
2020-05-28 09:36:57.790945,300,25,64,100,68,19
2020-05-28 09:36:57.790956,301,13,52,83,74,19
2020-05-28 09:36:57.790968,302,6,16,94,33,33
2020-05-28 09:36:57.790980,303,15,87,44,56,38
2020-05-28 09:36:57.790991,304,36,35,58,1,2
2020-05-28 09:36:57.791003,305,9,74,41,64,9
2020-05-28 09:36:57.791014,306,22,37,31,7,2
2020-05-28 09:36:57.791026,307,7,51,46,48,27
2020-05-28 09:36:57.791037,308,1,67,62,83,23
2020-05-28 09:36:57.791049,309,2,48,17,83,1
2020-05-28 09:36:57.791061,310,32,71,28,87,32
2020-05-28 09:36:57.791072,311,1,16,83,63,23
2020-05-28 09:36:57.791084,312,4,83,31,12,14
2020-05-28 09:36:57.791096,313,6,20,73,18,22
2020-05-28 09:36:57.791108,314,7,48,34,30,26
2020-05-28 09:36:57.791120,315,24,48,66,33,26
2020-05-28 09:36:57.791132,316,10,63,86,58,27
2020-05-28 09:36:57.791143,317,17,89,30,36,8
2020-05-28 09:36:57.791155,318,20,30,65,39,15
2020-05-28 09:36:57.791166,319,30,84,4,28,25
2020-05-28 09:36:57.791178,320,8,61,37,26,24
2020-05-28 09:36:57.791189,321,14,53,91,70,35
2020-05-28 09:36:57.791201,322,29,41,34,32,13
2020-05-28 09:36:57.791212,323,20,74,40,23,31
2020-05-28 09:36:57.791224,324,15,39,40,38,6
2020-05-28 09:36:57.791235,325,2,74,21,18,39
2020-05-28 09:36:57.791247,326,25,61,80,70,21
2020-05-28 09:36:57.791258,327,29,62,2,58,40
2020-05-28 09:36:57.791270,328,4,56,44,75,40
2020-05-28 09:36:57.791282,329,13,16,37,79,22
2020-05-28 09:36:57.791293,330,31,15,70,80,18
2020-05-28 09:36:57.791305,331,29,26,28,64,21
2020-05-28 09:36:57.791316,332,14,77,22,48,11
2020-05-28 09:36:57.791328,333,20,76,10,24,2
2020-05-28 09:36:57.791339,334,11,41,5,56,5
2020-05-28 09:36:57.791351,335,22,69,100,99,32
2020-05-28 09:36:57.791363,336,16,27,69,19,38
2020-05-28 09:36:57.791374,337,4,25,90,37,27
2020-05-28 09:36:57.791386,338,8,29,84,100,19
2020-05-28 09:36:57.791397,339,25,50,39,62,2
2020-05-28 09:36:57.791409,340,10,90,89,28,0
2020-05-28 09:36:57.791420,341,18,21,60,76,32
2020-05-28 09:36:57.791432,342,27,88,62,84,7
2020-05-28 09:36:57.791443,343,6,38,6,1,10
2020-05-28 09:36:57.791455,344,13,81,72,60,14
2020-05-28 09:36:57.791466,345,15,39,29,56,23
2020-05-28 09:36:57.791478,346,29,73,74,63,34
2020-05-28 09:36:57.791489,347,33,60,7,17,1
2020-05-28 09:36:57.791501,348,33,24,45,44,37
2020-05-28 09:36:57.791512,349,39,83,77,11,25
2020-05-28 09:36:57.791524,350,10,83,2,62,15
2020-05-28 09:36:57.791535,351,39,83,51,28,39
2020-05-28 09:36:57.791547,352,26,44,85,90,24
2020-05-28 09:36:57.791558,353,18,58,52,37,36
2020-05-28 09:36:57.791580,354,24,49,9,47,3
2020-05-28 09:36:57.791593,355,23,76,58,83,32
2020-05-28 09:36:57.791605,356,6,42,1,72,16
2020-05-28 09:36:57.791617,357,19,35,29,87,26
2020-05-28 09:36:57.791628,358,38,52,80,100,18
2020-05-28 09:36:57.791640,359,16,20,56,39,33
2020-05-28 09:36:57.791652,360,16,70,69,8,32
2020-05-28 09:36:57.791663,361,2,71,24,95,6
2020-05-28 09:36:57.791675,362,31,22,73,78,16
2020-05-28 09:36:57.791686,363,5,89,34,29,8
2020-05-28 09:36:57.791698,364,0,55,97,3,35
2020-05-28 09:36:57.791710,365,7,23,49,93,34
2020-05-28 09:36:57.791721,366,9,56,52,62,16
2020-05-28 09:36:57.791733,367,36,71,93,12,40
2020-05-28 09:36:57.791745,368,24,87,11,19,34
2020-05-28 09:36:57.791756,369,7,19,96,95,15
2020-05-28 09:36:57.791768,370,2,70,100,64,14
2020-05-28 09:36:57.791779,371,0,71,16,75,18
2020-05-28 09:36:57.791791,372,8,87,57,39,6
2020-05-28 09:36:57.791802,373,3,29,32,32,35
2020-05-28 09:36:57.791814,374,24,21,76,32,12
2020-05-28 09:36:57.791826,375,26,49,2,88,26
2020-05-28 09:36:57.791840,376,40,75,33,90,40
2020-05-28 09:36:57.791851,377,20,18,83,72,9
2020-05-28 09:36:57.791862,378,23,71,25,91,10
2020-05-28 09:36:57.791874,379,37,40,2,40,2
2020-05-28 09:36:57.791885,380,30,59,100,94,25
2020-05-28 09:36:57.791897,381,11,85,54,54,30
2020-05-28 09:36:57.791909,382,25,52,73,35,1
2020-05-28 09:36:57.791920,383,26,83,15,93,30
2020-05-28 09:36:57.791932,384,36,38,60,6,0
2020-05-28 09:36:57.791943,385,4,21,50,85,37
2020-05-28 09:36:57.791955,386,30,82,52,5,28
2020-05-28 09:36:57.791966,387,15,46,37,64,10
2020-05-28 09:36:57.791978,388,30,57,61,54,11
2020-05-28 09:36:57.791989,389,25,78,73,2,20
2020-05-28 09:36:57.792001,390,5,35,82,94,9
2020-05-28 09:36:57.792012,391,31,90,62,48,9
2020-05-28 09:36:57.792024,392,27,75,23,33,37
2020-05-28 09:36:57.792036,393,39,84,33,39,33
2020-05-28 09:36:57.792047,394,39,70,98,57,3
2020-05-28 09:36:57.792059,395,19,85,62,20,28
2020-05-28 09:36:57.792070,396,37,80,51,11,14
2020-05-28 09:36:57.792082,397,5,65,70,5,39
2020-05-28 09:36:57.792093,398,13,61,61,69,19
2020-05-28 09:36:57.792105,399,14,65,53,27,1
2020-05-28 09:36:57.792116,400,9,30,60,4,34
2020-05-28 09:36:57.792128,401,17,21,46,32,26
2020-05-28 09:36:57.792139,402,8,67,31,74,38
2020-05-28 09:36:57.792151,403,13,23,97,92,19
2020-05-28 09:36:57.792162,404,34,54,74,84,18
2020-05-28 09:36:57.792174,405,35,70,36,42,7
2020-05-28 09:36:57.792185,406,40,80,35,49,17
2020-05-28 09:36:57.792197,407,24,87,2,18,39
2020-05-28 09:36:57.792208,408,23,42,18,77,14
2020-05-28 09:36:57.792220,409,10,90,3,3,20
2020-05-28 09:36:57.792231,410,5,31,62,45,30
2020-05-28 09:36:57.792243,411,1,55,53,1,12
2020-05-28 09:36:57.792254,412,19,85,48,47,3
2020-05-28 09:36:57.792266,413,27,62,2,53,13
2020-05-28 09:36:57.792277,414,11,74,84,64,34
2020-05-28 09:36:57.792289,415,30,45,39,85,26
2020-05-28 09:36:57.792300,416,15,43,6,12,20
2020-05-28 09:36:57.792312,417,23,37,98,88,2
2020-05-28 09:36:57.792323,418,1,66,7,99,39
2020-05-28 09:36:57.792335,419,8,51,25,93,23
2020-05-28 09:36:57.792346,420,11,60,54,42,3
2020-05-28 09:36:57.792358,421,15,53,41,91,25
2020-05-28 09:36:57.792369,422,5,84,40,20,16
2020-05-28 09:36:57.792381,423,18,42,21,37,8
2020-05-28 09:36:57.792392,424,17,54,66,14,15
2020-05-28 09:36:57.792404,425,37,83,8,77,39
2020-05-28 09:36:57.792415,426,6,73,16,37,2
2020-05-28 09:36:57.792427,427,12,48,98,40,28
2020-05-28 09:36:57.792438,428,23,73,21,46,23
2020-05-28 09:36:57.792450,429,35,89,67,18,30
2020-05-28 09:36:57.792461,430,10,31,22,48,19
2020-05-28 09:36:57.792472,431,40,52,46,43,32
2020-05-28 09:36:57.792484,432,39,89,71,12,33
2020-05-28 09:36:57.792496,433,36,83,77,86,9
2020-05-28 09:36:57.792507,434,9,89,11,97,18
2020-05-28 09:36:57.792519,435,16,71,33,27,16
2020-05-28 09:36:57.792530,436,33,89,64,58,26
2020-05-28 09:36:57.792543,437,24,76,73,96,21
2020-05-28 09:36:57.792555,438,22,76,39,89,39
2020-05-28 09:36:57.792566,439,39,73,72,66,4
2020-05-28 09:36:57.792578,440,22,67,39,56,39
2020-05-28 09:36:57.792589,441,21,53,99,66,9
2020-05-28 09:36:57.792601,442,2,29,84,68,39
2020-05-28 09:36:57.792620,443,18,78,76,56,32
2020-05-28 09:36:57.792633,444,37,73,59,97,37
2020-05-28 09:36:57.792645,445,27,78,90,45,37
2020-05-28 09:36:57.792657,446,38,77,36,3,33
2020-05-28 09:36:57.792668,447,28,70,51,15,8
2020-05-28 09:36:57.792680,448,22,17,98,87,19
2020-05-28 09:36:57.792691,449,35,72,88,70,19
2020-05-28 09:36:57.792703,450,13,27,52,31,34
2020-05-28 09:36:57.792714,451,21,57,8,33,11
2020-05-28 09:36:57.792726,452,16,73,0,2,24
2020-05-28 09:36:57.792737,453,38,66,67,54,27
2020-05-28 09:36:57.792749,454,32,33,57,29,28
2020-05-28 09:36:57.792760,455,14,80,35,28,5
2020-05-28 09:36:57.792772,456,29,61,36,60,37
2020-05-28 09:36:57.792783,457,30,24,98,13,40
2020-05-28 09:36:57.792795,458,34,18,7,60,4
2020-05-28 09:36:57.792806,459,26,20,29,69,39
2020-05-28 09:36:57.792818,460,18,51,43,49,37
2020-05-28 09:36:57.792843,461,6,26,90,75,23
2020-05-28 09:36:57.792857,462,13,50,75,70,8
2020-05-28 09:36:57.792868,463,18,68,75,9,38
2020-05-28 09:36:57.792880,464,36,37,7,78,28
2020-05-28 09:36:57.792892,465,18,79,19,4,38
2020-05-28 09:36:57.792903,466,1,31,31,58,37
2020-05-28 09:36:57.792915,467,34,45,60,57,13
2020-05-28 09:36:57.792927,468,27,46,95,64,2
2020-05-28 09:36:57.792938,469,1,48,42,94,4
2020-05-28 09:36:57.792950,470,18,83,87,70,6
2020-05-28 09:36:57.792961,471,18,62,80,96,13
2020-05-28 09:36:57.792973,472,22,35,27,82,38
2020-05-28 09:36:57.792984,473,36,54,50,100,18
2020-05-28 09:36:57.792996,474,1,27,96,84,31
2020-05-28 09:36:57.793008,475,30,42,88,83,14
2020-05-28 09:36:57.793019,476,36,39,76,57,0
2020-05-28 09:36:57.793031,477,11,88,38,44,38
2020-05-28 09:36:57.793042,478,34,63,42,78,40
2020-05-28 09:36:57.793054,479,28,34,47,20,14
2020-05-28 09:36:57.793065,480,39,32,72,65,22
2020-05-28 09:36:57.793076,481,26,76,39,45,20
2020-05-28 09:36:57.793088,482,16,88,77,28,6
2020-05-28 09:36:57.793099,483,35,33,100,59,34
2020-05-28 09:36:57.793111,484,21,30,27,37,0
2020-05-28 09:36:57.793122,485,13,33,53,42,2
2020-05-28 09:36:57.793134,486,17,54,45,29,10
2020-05-28 09:36:57.793145,487,26,60,13,100,24
2020-05-28 09:36:57.793157,488,13,38,16,14,27
2020-05-28 09:36:57.793168,489,29,78,12,33,3
2020-05-28 09:36:57.793180,490,24,68,95,56,4
2020-05-28 09:36:57.793192,491,9,89,26,51,11
2020-05-28 09:36:57.793203,492,26,38,23,39,8
2020-05-28 09:36:57.793214,493,25,43,56,1,13
2020-05-28 09:36:57.793226,494,18,39,39,97,36
2020-05-28 09:36:57.793237,495,17,52,24,2,1
2020-05-28 09:36:57.793249,496,21,71,14,3,27
